id,value
دستگاه.چهارگاه.درآمد سوم: پیش زنگوله و زنگوله,
دستگاه.چهارگاه.درآمد چهارم,
دستگاه.چهارگاه.نغمه اول,
دستگاه.چهارگاه.کرشمه,
دستگاه.چهارگاه.کرشمه با مویه,
دستگاه.چهارگاه.زنگ شتر,
دستگاه.چهارگاه.زابل,
دستگاه.چهارگاه.بسته‌نگار,
دستگاه.چهارگاه.مویه اول,
دستگاه.چهارگاه.فرود,
دستگاه.چهارگاه.حصار,
دستگاه.چهارگاه.حصار قسمت دوم,
دستگاه.چهارگاه.حصار قسمت سوم,
دستگاه.چهارگاه.حصار قسمت چهارم,
دستگاه.چهارگاه.چهار مضراب حصار,
دستگاه.چهارگاه.پس حصار,
دستگاه.چهارگاه.مویه دوم,
دستگاه.چهارگاه.مخالف,
دستگاه.چهارگاه.حاجی حسینی,
دستگاه.چهارگاه.بسته‌نگار,
دستگاه.چهارگاه.مغلوب,
دستگاه.چهارگاه.نغمه دوم,
دستگاه.چهارگاه.حزین,
دستگاه.چهارگاه.حدی,
دستگاه.چهارگاه.پهلوی,
دستگاه.چهارگاه.رجز,
دستگاه.چهارگاه.منصوری,
دستگاه.چهارگاه.منصوری قسمت دوم,
دستگاه.چهارگاه.منصوری قسمت سوم,
دستگاه.چهارگاه.لزگی,
دستگاه.چهارگاه.متن و حاشیه,
دستگاه.چهارگاه.رنگ شهرآشوب,
دستگاه.ماهور,
دستگاه.ماهور.درآمد,
دستگاه.ماهور.کرشمه,
دستگاه.ماهور.آواز,
دستگاه.ماهور.مقدمه‌ی داد,
دستگاه.ماهور.داد,
دستگاه.ماهور.مجلس‌افروز,
دستگاه.ماهور.خسروانی,
دستگاه.ماهور.دلکش,
دستگاه.ماهور.چهارمضراب و فرود,
دستگاه.ماهور.خاوران,
دستگاه.ماهور.طرب‌انگیز,
دستگاه.ماهور.نیشابورک,
دستگاه.ماهور.نصیرخانی یا طوسی,
دستگاه.ماهور.چهارپاره یا مرادخانی,
دستگاه.ماهور.فیلی,
دستگاه.ماهور.ماهور صغیر,
دستگاه.ماهور.آذربایجانی,
دستگاه.ماهور.حصار ماهور یا ابول,
دستگاه.ماهور.زیرافکند,
دستگاه.ماهور.نیریز,
دستگاه.ماهور.شکسته,
دستگاه.ماهور.عراق,
دستگاه.ماهور.نهیب,
دستگاه.ماهور.محیر,
دستگاه.ماهور.آشور آوند,
دستگاه.ماهور.اصفهانک,
دستگاه.ماهور.حزین,
دستگاه.ماهور.کرشمه,
دستگاه.ماهور.زنگوله,
دستگاه.ماهور.راک هندی,
دستگاه.ماهور.راک کشمیر,
دستگاه.ماهور.راک عبدالله,
دستگاه.ماهور.کرشمه‌ی راک,
دستگاه.ماهور.صفیر راک,
دستگاه.ماهور.رنگ حربی,
دستگاه.ماهور.رنگ یکچوبه,
دستگاه.ماهور.رنگ شلخو,
دستگاه.ماهور.ساقی‌نامه کشته و صوفی‌نامه,
